filename,threshold,inverse,TP,TN,FP,FN,pred_bad,pred_good,bad_precision,bad_recall,good_precision,good_recall,bad_f1_given,bad_f1_calculated,accuracy,f1_diff
vote_0_0_REAL_F1_0.5451505016722408.csv,0,0,652,5818,1013,75,1665,5893,0.39159159159159157,0.8968363136176066,0.9872730358051927,0.8517054604011126,0.5451505016722408,0.5451505016722408,0.8560465731675047,0.0
vote_0_1_REAL_F1_0.022658610271903322.csv,0,1,75,1013,5818,652,5893,1665,0.012726964194807398,0.1031636863823934,0.6084084084084084,0.14829453959888741,0.0226586102719033,0.022658610271903322,0.14395342683249537,2.0816681711721685e-17
vote_1_0_REAL_F1_0.5775978407557355.csv,1,0,642,5977,854,85,1496,6062,0.42914438502673796,0.8830811554332875,0.985978225008248,0.8749817010686576,0.5775978407557355,0.5775978407557355,0.8757607832759989,0.0
vote_1_1_REAL_F1_0.02504050670201797.csv,1,1,85,854,5977,642,6062,1496,0.014021774991751897,0.11691884456671252,0.570855614973262,0.12501829893134242,0.0250405067020179,0.02504050670201797,0.12423921672400105,6.938893903907228e-17
vote_2_0_REAL_F1_0.5970009372071228.csv,2,0,637,6061,770,90,1407,6151,0.4527363184079602,0.8762035763411279,0.9853682328076735,0.8872785829307569,0.5970009372071228,0.5970009372071228,0.8862132839375496,0.0
vote_2_1_REAL_F1_0.026170398371619656.csv,2,1,90,770,6061,637,6151,1407,0.01463176719232645,0.12379642365887207,0.5472636815920398,0.11272141706924316,0.0261703983716196,0.026170398371619656,0.11378671606245039,5.551115123125783e-17
vote_3_0_REAL_F1_0.6103012633624879.csv,3,0,628,6128,703,99,1331,6227,0.4718256949661908,0.8638239339752407,0.9841014934960656,0.8970868101302883,0.6103012633624879,0.6103012633624879,0.8938872717650173,0.0
vote_3_1_REAL_F1_0.028472821397756684.csv,3,1,99,703,6128,628,6227,1331,0.015898506503934477,0.1361760660247593,0.5281743050338091,0.10291318986971161,0.0284728213977566,0.028472821397756684,0.1061127282349828,8.326672684688674e-17
vote_4_0_REAL_F1_0.624687656171914.csv,4,0,625,6182,649,102,1274,6284,0.49058084772370486,0.859697386519945,0.9837683004455761,0.9049919484702094,0.624687656171914,0.624687656171914,0.9006350886477904,0.0
vote_4_1_REAL_F1_0.02909713307659392.csv,4,1,102,649,6182,625,6284,1274,0.016231699554423933,0.14030261348005502,0.5094191522762951,0.09500805152979067,0.0290971330765939,0.02909713307659392,0.09936491135220958,2.0816681711721685e-17
vote_5_0_REAL_F1_0.6331967213114754.csv,5,0,618,6224,607,109,1225,6333,0.5044897959183674,0.8500687757909215,0.9827885678193589,0.911140389401259,0.6331967213114754,0.6331967213114754,0.9052659433712622,0.0
vote_5_1_REAL_F1_0.03087818696883853.csv,5,1,109,607,6224,618,6333,1225,0.017211432180641088,0.1499312242090784,0.49551020408163265,0.08885961059874103,0.0308781869688385,0.03087818696883853,0.09473405662873777,2.7755575615628914e-17
vote_6_0_REAL_F1_0.6439433665443104.csv,6,0,614,6265,566,113,1180,6378,0.5203389830508475,0.844566712517194,0.982282847287551,0.9171424388815693,0.6439433665443104,0.6439433665443104,0.9101614183646467,0.0
vote_6_1_REAL_F1_0.03180858550316678.csv,6,1,113,566,6265,614,6378,1180,0.017717152712449044,0.15543328748280605,0.47966101694915253,0.08285756111843068,0.0318085855031667,0.03180858550316678,0.08983858163535327,7.632783294297951e-17
vote_7_0_REAL_F1_0.652127659574468.csv,7,0,613,6291,540,114,1153,6405,0.5316565481352992,0.8431911966987621,0.9822014051522249,0.9209486166007905,0.652127659574468,0.652127659574468,0.9134691717385551,0.0
vote_7_1_REAL_F1_0.03196859226023556.csv,7,1,114,540,6291,613,6405,1153,0.017798594847775177,0.15680880330123798,0.4683434518647008,0.07905138339920949,0.0319685922602355,0.03196859226023556,0.08653082826144483,6.245004513516506e-17
vote_8_0_REAL_F1_0.6554712892741061.csv,8,0,605,6317,514,122,1119,6439,0.5406613047363718,0.8321870701513068,0.9810529585339338,0.9247547943200117,0.6554712892741061,0.6554712892741061,0.9158507541677693,0.0
vote_8_1_REAL_F1_0.03404967903991069.csv,8,1,122,514,6317,605,6439,1119,0.01894704146606616,0.16781292984869325,0.45933869526362825,0.07524520567998828,0.0340496790399106,0.03404967903991069,0.08414924583223075,9.020562075079397e-17
vote_9_0_REAL_F1_0.6629955947136564.csv,9,0,602,6344,487,125,1089,6469,0.5528007346189164,0.828060522696011,0.9806770752821147,0.9287073634899722,0.6629955947136564,0.6629955947136564,0.9190261974067213,0.0
vote_9_1_REAL_F1_0.03474152306837132.csv,9,1,125,487,6344,602,6469,1089,0.019322924717885298,0.171939477303989,0.44719926538108357,0.07129263651002782,0.0347415230683713,0.03474152306837132,0.08097380259327865,2.0816681711721685e-17
vote_10_0_REAL_F1_0.667779632721202.csv,10,0,600,6361,470,127,1070,6488,0.5607476635514018,0.8253094910591472,0.9804254007398274,0.9311960181525399,0.667779632721202,0.667779632721202,0.9210108494310664,0.0
vote_10_1_REAL_F1_0.035204435204435204.csv,10,1,127,470,6361,600,6488,1070,0.019574599260172628,0.1746905089408528,0.4392523364485981,0.0688039818474601,0.0352044352044352,0.035204435204435204,0.07898915056893357,6.938893903907228e-18
vote_11_0_REAL_F1_0.6738148984198645.csv,11,0,597,6383,448,130,1045,6513,0.5712918660287082,0.8211829436038515,0.9800399201596807,0.9344166300688039,0.6738148984198645,0.6738148984198645,0.9235247419952368,0.0
vote_11_1_REAL_F1_0.03591160220994476.csv,11,1,130,448,6383,597,6513,1045,0.01996007984031936,0.17881705639614856,0.42870813397129187,0.06558336993119601,0.0359116022099447,0.03591160220994476,0.07647525800476317,5.551115123125783e-17
vote_12_0_REAL_F1_0.682730923694779.csv,12,0,595,6410,421,132,1016,6542,0.5856299212598425,0.8184319119669876,0.979822684194436,0.9383691992387645,0.682730923694779,0.682730923694779,0.9268324953691452,0.0
vote_12_1_REAL_F1_0.036318613289310776.csv,12,1,132,421,6410,595,6542,1016,0.020177315805564047,0.1815680880330124,0.41437007874015747,0.061630800761235546,0.0363186132893107,0.036318613289310776,0.07316750463085472,7.632783294297951e-17
vote_13_0_REAL_F1_0.6916764361078547.csv,13,0,590,6442,389,137,979,6579,0.6026557711950971,0.811554332874828,0.9791761665906673,0.9430537256624213,0.6916764361078547,0.6916764361078547,0.9304048690129664,0.0
vote_13_1_REAL_F1_0.03750342184505885.csv,13,1,137,389,6442,590,6579,979,0.020823833409332724,0.18844566712517194,0.39734422880490294,0.056946274337578685,0.0375034218450588,0.03750342184505885,0.06959513098703361,4.85722573273506e-17
vote_14_0_REAL_F1_0.6979228486646885.csv,14,0,588,6461,370,139,958,6600,0.6137787056367432,0.8088033012379643,0.9789393939393939,0.9458351632264675,0.6979228486646885,0.6979228486646885,0.9326541413072241,0.0
vote_14_1_REAL_F1_0.037941858878122015.csv,14,1,139,370,6461,588,6600,958,0.02106060606060606,0.19119669876203577,0.3862212943632568,0.05416483677353243,0.037941858878122,0.037941858878122015,0.06734585869277587,1.3877787807814457e-17
vote_15_0_REAL_F1_0.7062386432465172.csv,15,0,583,6490,341,144,924,6634,0.6309523809523809,0.8019257221458047,0.9782936388302683,0.9500805152979066,0.7062386432465172,0.7062386432465172,0.9358295845461763,0.0
vote_15_1_REAL_F1_0.039125118869718783.csv,15,1,144,341,6490,583,6634,924,0.021706361169731684,0.19807427785419532,0.36904761904761907,0.0499194847020934,0.0391251188697187,0.039125118869718783,0.06417041545382376,8.326672684688674e-17
vote_16_0_REAL_F1_0.7146401985111663.csv,16,0,576,6522,309,151,885,6673,0.6508474576271186,0.7922971114167813,0.9773714970777762,0.9547650417215635,0.7146401985111663,0.7146401985111663,0.9391373379200847,0.0
vote_16_1_REAL_F1_0.0408108108108108.csv,16,1,151,309,6522,576,6673,885,0.022628502922223886,0.2077028885832187,0.34915254237288135,0.045234958278436536,0.0408108108108108,0.0408108108108108,0.06086266207991532,0.0
vote_17_0_REAL_F1_0.7413793103448276.csv,17,0,559,6609,222,168,781,6777,0.7157490396927016,0.7689133425034388,0.9752102700309871,0.9675010979358806,0.7413793103448276,0.7413793103448276,0.9483990473670283,0.0
vote_17_1_REAL_F1_0.04477611940298508.csv,17,1,168,222,6609,559,6777,781,0.02478972996901284,0.2310866574965612,0.28425096030729835,0.032498902064119456,0.044776119402985,0.04477611940298508,0.05160095263297169,7.632783294297951e-17
vote_18_0_REAL_F1_0.742281879194631.csv,18,0,553,6621,210,174,763,6795,0.7247706422018348,0.7606602475928473,0.97439293598234,0.9692577953447519,0.742281879194631,0.742281879194631,0.9491929081767664,0.0
vote_18_1_REAL_F1_0.04626429141185855.csv,18,1,174,210,6621,553,6795,763,0.025607064017660046,0.2393397524071527,0.27522935779816515,0.030742204655248132,0.0462642914118585,0.04626429141185855,0.05080709182323366,5.551115123125783e-17
vote_19_0_REAL_F1_0.7432432432432432.csv,19,0,550,6628,203,177,753,6805,0.7304116865869854,0.7565337001375516,0.9739897134459956,0.9702825354999268,0.7432432432432432,0.7432432432432432,0.9497221487165917,0.0
vote_19_1_REAL_F1_0.04699946893255443.csv,19,1,177,203,6628,550,6805,753,0.02601028655400441,0.24346629986244842,0.2695883134130146,0.029717464500073197,0.0469994689325544,0.04699946893255443,0.05027785128340831,3.469446951953614e-17
vote_20_0_REAL_F1_0.7399317406143344.csv,20,0,542,6635,196,185,738,6820,0.7344173441734417,0.7455295735900963,0.9728739002932552,0.9713072756551018,0.7399317406143344,0.7399317406143344,0.9495898385816354,0.0
vote_20_1_REAL_F1_0.049026103087319466.csv,20,1,185,196,6635,542,6820,738,0.027126099706744868,0.2544704264099037,0.26558265582655827,0.02869272434489826,0.0490261030873194,0.049026103087319466,0.050410161418364643,6.245004513516506e-17
vote_21_0_REAL_F1_0.7395189003436425.csv,21,0,538,6641,190,189,728,6830,0.739010989010989,0.7400275103163686,0.9723279648609078,0.9721856243595374,0.7395189003436425,0.7395189003436425,0.9498544588515481,0.0
vote_21_1_REAL_F1_0.050019849146486696.csv,21,1,189,190,6641,538,6830,728,0.02767203513909224,0.25997248968363135,0.260989010989011,0.0278143756404626,0.0500198491464866,0.050019849146486696,0.050145541148451975,9.71445146547012e-17
vote_22_0_REAL_F1_0.7447698744769875.csv,22,0,534,6658,173,193,707,6851,0.7553041018387553,0.734525447042641,0.9718289300831995,0.9746742790221051,0.7447698744769875,0.7447698744769875,0.9515744906059804,0.0
vote_22_1_REAL_F1_0.050936922670889416.csv,22,1,193,173,6658,534,6851,707,0.028171069916800465,0.265474552957359,0.2446958981612447,0.02532572097789489,0.0509369226708894,0.050936922670889416,0.04842550939401958,1.3877787807814457e-17
vote_23_0_REAL_F1_0.7420941672522839.csv,23,0,528,6663,168,199,696,6862,0.7586206896551724,0.7262723521320495,0.9709997085397843,0.9754062362758015,0.7420941672522839,0.7420941672522839,0.9514421804710241,0.0
vote_23_1_REAL_F1_0.05244432731585189.csv,23,1,199,168,6663,528,6862,696,0.02900029146021568,0.2737276478679505,0.2413793103448276,0.024593763724198508,0.0524443273158518,0.05244432731585189,0.04855781952897592,9.020562075079397e-17
vote_24_0_REAL_F1_0.7407932011331444.csv,24,0,523,6669,162,204,685,6873,0.7635036496350365,0.71939477303989,0.9703186381492798,0.9762845849802372,0.7407932011331444,0.7407932011331444,0.9515744906059804,0.0
vote_24_1_REAL_F1_0.053684210526315786.csv,24,1,204,162,6669,523,6873,685,0.02968136185072021,0.28060522696011003,0.2364963503649635,0.023715415019762844,0.0536842105263157,0.053684210526315786,0.04842550939401958,8.326672684688674e-17
vote_25_0_REAL_F1_0.7431850789096126.csv,25,0,518,6682,149,209,667,6891,0.7766116941529235,0.7125171939477304,0.9696705848207807,0.9781876738398477,0.7431850789096126,0.7431850789096126,0.9526329716856311,0.0
vote_25_1_REAL_F1_0.054870044631136775.csv,25,1,209,149,6682,518,6891,667,0.03032941517921927,0.2874828060522696,0.22338830584707647,0.021812326160152246,0.0548700446311367,0.054870044631136775,0.047367028314368884,7.632783294297951e-17
vote_26_0_REAL_F1_0.7444204463642909.csv,26,0,517,6686,145,210,662,6896,0.7809667673716012,0.7111416781292985,0.9695475638051044,0.9787732396428048,0.7444204463642909,0.7444204463642909,0.9530299020905001,0.0
vote_26_1_REAL_F1_0.05509641873278237.csv,26,1,210,145,6686,517,6896,662,0.030452436194895592,0.28885832187070154,0.2190332326283988,0.02122676035719514,0.0550964187327823,0.05509641873278237,0.04697009790949987,6.938893903907228e-17
vote_27_0_REAL_F1_0.7467438494934877.csv,27,0,516,6692,139,211,655,6903,0.7877862595419848,0.7097661623108665,0.9694335796030711,0.9796515883472405,0.7467438494934877,0.7467438494934877,0.9536914527652818,0.0
vote_27_1_REAL_F1_0.05530799475753604.csv,27,1,211,139,6692,516,6903,655,0.030566420396928872,0.2902338376891334,0.21221374045801528,0.02034841165275948,0.055307994757536,0.05530799475753604,0.04630854723471818,4.163336342344337e-17
vote_28_0_REAL_F1_0.7467438494934877.csv,28,0,516,6692,139,211,655,6903,0.7877862595419848,0.7097661623108665,0.9694335796030711,0.9796515883472405,0.7467438494934877,0.7467438494934877,0.9536914527652818,0.0
vote_28_1_REAL_F1_0.05530799475753604.csv,28,1,211,139,6692,516,6903,655,0.030566420396928872,0.2902338376891334,0.21221374045801528,0.02034841165275948,0.055307994757536,0.05530799475753604,0.04630854723471818,4.163336342344337e-17
vote_29_0_REAL_F1_0.7458120903131827.csv,29,0,512,6697,134,215,646,6912,0.7925696594427245,0.7042640990371389,0.9688946759259259,0.9803835456009369,0.7458120903131827,0.7458120903131827,0.9538237629002382,0.0
vote_29_1_REAL_F1_0.0562900903259589.csv,29,1,215,134,6697,512,6912,646,0.031105324074074073,0.29573590096286106,0.20743034055727555,0.019616454399063094,0.0562900903259589,0.0562900903259589,0.04617623709976184,0.0
vote_30_0_REAL_F1_0.7433628318584071.csv,30,0,504,6706,125,223,629,6929,0.8012718600953895,0.6932599724896836,0.9678164237263674,0.9817010686575904,0.7433628318584071,0.7433628318584071,0.9539560730351945,0.0
vote_30_1_REAL_F1_0.058254963427377224.csv,30,1,223,125,6706,504,6929,629,0.03218357627363256,0.30674002751031637,0.1987281399046105,0.0182989313424096,0.0582549634273772,0.058254963427377224,0.046043926964805505,2.0816681711721685e-17
vote_31_0_REAL_F1_0.7406296851574213.csv,31,0,494,6718,113,233,607,6951,0.8138385502471169,0.6795048143053645,0.9664796432168034,0.9834577660664617,0.7406296851574213,0.7406296851574213,0.9542206933051072,0.0
vote_31_1_REAL_F1_0.060692888773117994.csv,31,1,233,113,6718,494,6951,607,0.03352035678319666,0.3204951856946355,0.18616144975288304,0.01654223393353828,0.0606928887731179,0.060692888773117994,0.04577930669489283,9.020562075079397e-17
vote_32_0_REAL_F1_0.7414187643020596.csv,32,0,486,6733,98,241,584,6974,0.8321917808219178,0.6685006877579092,0.9654430742758818,0.9856536378275509,0.7414187643020596,0.7414187643020596,0.9551468642498016,0.0
vote_32_1_REAL_F1_0.06258927412024413.csv,32,1,241,98,6733,486,6974,584,0.03455692572411816,0.3314993122420908,0.1678082191780822,0.01434636217244913,0.0625892741202441,0.06258927412024413,0.04485313575019847,2.7755575615628914e-17
vote_33_0_REAL_F1_0.7474747474747475.csv,33,0,481,6752,79,246,560,6998,0.8589285714285714,0.6616231086657497,0.9648470991711918,0.9884350753915971,0.7474747474747475,0.7474747474747475,0.9569992061391903,0.0
vote_33_1_REAL_F1_0.06368932038834951.csv,33,1,246,79,6752,481,6998,560,0.03515290082880823,0.33837689133425036,0.14107142857142857,0.011564924608402869,0.0636893203883495,0.06368932038834951,0.04300079386080974,1.3877787807814457e-17
vote_34_0_REAL_F1_0.7471451876019575.csv,34,0,458,6790,41,269,499,7059,0.9178356713426854,0.6299862448418156,0.9618926193511829,0.9939979505196896,0.7471451876019575,0.7471451876019575,0.9589838581635354,0.0
vote_34_1_REAL_F1_0.06909838171076291.csv,34,1,269,41,6790,458,7059,499,0.038107380648817114,0.3700137551581843,0.08216432865731463,0.00600204948031035,0.0690983817107629,0.06909838171076291,0.041016141836464674,1.3877787807814457e-17
vote_35_0_REAL_F1_0.7280405405405406.csv,35,0,431,6805,26,296,457,7101,0.9431072210065645,0.5928473177441541,0.9583157301788481,0.9961938222807788,0.7280405405405406,0.7280405405405406,0.9573961365440593,0.0
vote_35_1_REAL_F1_0.07562595809913131.csv,35,1,296,26,6805,431,7101,457,0.04168426982115195,0.40715268225584594,0.05689277899343545,0.0038061777192211974,0.0756259580991313,0.07562595809913131,0.04260386345594073,1.3877787807814457e-17
vote_36_0_REAL_F1_0.7079337401918048.csv,36,0,406,6817,14,321,420,7138,0.9666666666666667,0.5584594222833562,0.9550294200056038,0.9979505196896501,0.7079337401918048,0.7079337401918048,0.9556761047896268,0.0
vote_36_1_REAL_F1_0.08162746344564525.csv,36,1,321,14,6817,406,7138,420,0.04497057999439619,0.44154057771664373,0.03333333333333333,0.0020494803103498754,0.0816274634456452,0.08162746344564525,0.04432389521037312,5.551115123125783e-17
