range_desc,total_samples,bad_count,good_count,bad_ratio,sample_ids
绝对Good区域,1665,0,1665,0.0,"['a00046', 'a00093', 'a00268', 'a00410', 'a00516', 'a00604', 'a00629', 'a00639', 'a00676', 'a00787', 'a00804', 'a00834', 'a00927', 'a01078', 'a01100', 'a01113', 'a01120', 'a01218', 'a01219', 'a01244', 'a01308', 'a01349', 'a01369', 'a01516', 'a01712', 'a01733', 'a01745', 'a01771', 'a01778', 'a01780', 'a01791', 'a01807', 'a02053', 'a02125', 'a02215', 'a02249', 'a02368', 'a02553', 'a02568', 'a02601', 'a02732', 'a02772', 'a02876', 'a03030', 'a03437', 'a03519', 'a03525', 'a03641', 'a03720', 'a03728', 'a03769', 'a03811', 'a03817', 'a03820', 'a03927', 'a04076', 'a04080', 'a04185', 'a04259', 'a04262', 'a04294', 'a04427', 'a04543', 'a04589', 'a04693', 'a04713', 'a04743', 'a04806', 'a04849', 'a04906', 'a04914', 'a04922', 'a04997', 'a05116', 'a05133', 'a05200', 'a05300', 'a05344', 'a05479', 'a05554', 'a05573', 'a05593', 'a05840', 'a05971', 'a06029', 'a06058', 'a06103', 'a06204', 'a06259', 'a06497', 'a06566', 'a06609', 'a06693', 'a06752', 'a06928', 'a06953', 'a07052', 'a07109', 'a07115', 'a07341', 'a07360', 'a07437', 'a07520', 'a07689', 'a07715', 'a07832', 'a07889', 'a07959', 'a08044', 'a08105', 'a08258', 'a08275', 'a08442', 'a08612', 'a08751', 'a08888', 'a08898', 'a08932', 'a09112', 'a09131', 'a09144', 'a09162', 'a09178', 'a09244', 'a09316', 'a09349', 'a09378', 'a09397', 'a09407', 'a09461', 'a09568', 'a09635', 'a09979', 'a10009', 'a10023', 'a10103', 'a10172', 'a10287', 'a10483', 'a10506', 'a10566', 'a10666', 'a10696', 'a10704', 'a10738', 'a10791', 'a10874', 'a10905', 'a11099', 'a11101', 'a11156', 'a11175', 'a11186', 'a11238', 'a11426', 'a11623', 'a11656', 'a11682', 'a12020', 'a12047', 'a12049', 'a12078', 'a12089', 'a12104', 'a12128', 'a12130', 'a12156', 'a12219', 'a12355', 'a12458', 'a12610', 'a12655', 'a12683', 'a12719', 'a12790', 'a12869', 'a12927', 'a12964', 'a13155', 'a13250', 'a13252', 'a13289', 'a13339', 'a13437', 'a13468', 'a13496', 'a13520', 'a13561', 'a13609', 'a13742', 'a13762', 'a13782', 'a13785', 'a13796', 'a13818', 'a13837', 'a13876', 'a13891', 'a13912', 'a13920', 'a13942', 'a13975', 'a14092', 'a14157', 'a14171', 'a14193', 'a14310', 'a14401', 'a14428', 'a14477', 'a14499', 'a14642', 'a14803', 'a14843', 'a14875', 'a15165', 'a15307', 'a15366', 'a15620', 'a15735', 'a15871', 'a15914', 'a15949', 'a16048', 'a16073', 'a16083', 'a16100', 'a16188', 'a16193', 'a16368', 'a16414', 'a16428', 'a16546', 'a16700', 'a16770', 'a16900', 'a16984', 'a17433', 'a17482', 'a17516', 'a17697', 'a17804', 'a17905', 'a17937', 'a18087', 'a18143', 'a18313', 'a18380', 'a18491', 'a18561', 'a18569', 'a18588', 'a18627', 'a18646', 'a18710', 'a18739', 'a18837', 'a19350', 'a19383', 'a19386', 'a19445', 'a19506', 'a19519', 'a19525', 'a19560', 'a20153', 'a20329', 'a20403', 'a20466', 'a20555', 'a20655', 'a20657', 'a20824', 'a21050', 'a21086', 'a21278', 'a21300', 'a21321', 'a21546', 'a21597', 'a21756', 'a21823', 'a21874', 'a21878', 'a22145', 'a22194', 'a22418', 'a22468', 'a22470', 'a22490', 'a22525', 'a22786', 'a22978', 'a22981', 'a23038', 'a23067', 'a23216', 'a23233', 'a23317', 'a23376', 'a23542', 'a23737', 'a23810', 'a23884', 'a23885', 'a23925', 'a23973', 'a24028', 'a24070', 'a24190', 'a24193', 'a24203', 'a24282', 'a24318', 'a24324', 'a24374', 'a24506', 'a24562', 'a24611', 'a24690', 'a24894', 'a25025', 'a25095', 'a25147', 'a25156', 'a25166', 'a25297', 'a25473', 'a25501', 'a25519', 'a25556', 'a25796', 'a25986', 'a26083', 'a26090', 'a26095', 'a26191', 'a26257', 'a26266', 'a26275', 'a26343', 'a26365', 'a26412', 'a26439', 'a26444', 'a26641', 'a26645', 'a26919', 'a26952', 'a27001', 'a27046', 'a27074', 'a27078', 'a27163', 'a27206', 'a27381', 'a27406', 'a27527', 'a27551', 'a27569', 'a27582', 'a27682', 'a27783', 'a27922', 'a27952', 'a28061', 'a28100', 'a28119', 'a28151', 'a28172', 'a28267', 'a28283', 'a28348', 'a28375', 'a28394', 'a28516', 'a28561', 'a28682', 'a28685', 'a28795', 'a28814', 'a28831', 'a28853', 'a28958', 'a28982', 'a28989', 'a29200', 'a29201', 'a29325', 'a29382', 'a29400', 'a29672', 'a29774', 'a29805', 'a29822', 'a29906', 'a29916', 'a29932', 'a29961', 'a29999', 'a30130', 'a30231', 'a30252', 'a30307', 'a30308', 'a30332', 'a30385', 'a30430', 'a30438', 'a30618', 'a30726', 'a30958', 'a31071', 'a31087', 'a31092', 'a31213', 'a31405', 'a31419', 'a31440', 'a31487', 'a00233', 'a00316', 'a00638', 'a02753', 'a03183', 'a04334', 'a04458', 'a06470', 'a08936', 'a09080', 'a09959', 'a10091', 'a10240', 'a10657', 'a12240', 'a13989', 'a14077', 'a14959', 'a17325', 'a18353', 'a18896', 'a18936', 'a19371', 'a19653', 'a20299', 'a21136', 'a21821', 'a21865', 'a23857', 'a24018', 'a24096', 'a24308', 'a24741', 'a27512', 'a28721', 'a28986', 'a29211', 'a00357', 'a01339', 'a01574', 'a01829', 'a01936', 'a02992', 'a03574', 'a04938', 'a05248', 'a06814', 'a06965', 'a07962', 'a08260', 'a08981', 'a09495', 'a10889', 'a11176', 'a12625', 'a12806', 'a14459', 'a15279', 'a18539', 'a18825', 'a18979', 'a19166', 'a19185', 'a19203', 'a19564', 'a19583', 'a19612', 'a19841', 'a20491', 'a20626', 'a20991', 'a21692', 'a22198', 'a23240', 'a24059', 'a25767', 'a26723', 'a26920', 'a29267', 'a00170', 'a00350', 'a00458', 'a00661', 'a01063', 'a01870', 'a01993', 'a03216', 'a03727', 'a04189', 'a04232', 'a04801', 'a05974', 'a06150', 'a06659', 'a06765', 'a08098', 'a08648', 'a09833', 'a10335', 'a10647', 'a11125', 'a11535', 'a12320', 'a12381', 'a12436', 'a12530', 'a12651', 'a12738', 'a12913', 'a13811', 'a14896', 'a16593', 'a17854', 'a17918', 'a18232', 'a18503', 'a18553', 'a18665', 'a18887', 'a19322', 'a19346', 'a20003', 'a20622', 'a21573', 'a22158', 'a22692', 'a24253', 'a24511', 'a24545', 'a24981', 'a25315', 'a26050', 'a26129', 'a27045', 'a27590', 'a27826', 'a27845', 'a28393', 'a30401', 'a30975', 'a01819', 'a03676', 'a05261', 'a06098', 'a08832', 'a09480', 'a10656', 'a10786', 'a11686', 'a13179', 'a13570', 'a14278', 'a14871', 'a18023', 'a19388', 'a21488', 'a22208', 'a24884', 'a25414', 'a26208', 'a26424', 'a28442', 'a30179', 'a31315', 'a00454', 'a02934', 'a04062', 'a04483', 'a07411', 'a08558', 'a08677', 'a11307', 'a12904', 'a13377', 'a15653', 'a18072', 'a19422', 'a19607', 'a20477', 'a20869', 'a21235', 'a22032', 'a23384', 'a23723', 'a25880', 'a26697', 'a30491', 'a01752', 'a02198', 'a03699', 'a04711', 'a05678', 'a05799', 'a07260', 'a08541', 'a09096', 'a12924', 'a14137', 'a17180', 'a17263', 'a17304', 'a17670', 'a19392', 'a21394', 'a22795', 'a24111', 'a25987', 'a26339', 'a26466', 'a00404', 'a01154', 'a01390', 'a04056', 'a07723', 'a08816', 'a11077', 'a11327', 'a12325', 'a18523', 'a19026', 'a19391', 'a20942', 'a21826', 'a25663', 'a26026', 'a26300', 'a07786', 'a08387', 'a14840', 'a16986', 'a17253', 'a24344', 'a25191', 'a26180', 'a28880', 'a00714', 'a04194', 'a11898', 'a15464', 'a20025', 'a23037', 'a23379', 'a06251', 'a14886', 'a16325', 'a20549', 'a27140', 'a02614', 'a03385', 'a09085', 'a09587', 'a09660', 'a11177', 'a14815', 'a15057', 'a16243', 'a16267', 'a17105', 'a18517', 'a19659', 'a20830', 'a23473', 'a27843', 'a28353', 'a28860', 'a03937', 'a04827', 'a09411', 'a10552', 'a16965', 'a17602', 'a21150', 'a21750', 'a23876', 'a24475', 'a24990', 'a00979', 'a01305', 'a01319', 'a02735', 'a03213', 'a18862', 'a21009', 'a21526', 'a22931', 'a24121', 'a28962', 'a02560', 'a04539', 'a08866', 'a09485', 'a09493', 'a09737', 'a11525', 'a15025', 'a15509', 'a15515', 'a15985', 'a18271', 'a19081', 'a19106', 'a19380', 'a20464', 'a20676', 'a20809', 'a21170', 'a21512', 'a24589', 'a00531', 'a11707', 'a15470', 'a19040', 'a24612', 'a25790', 'a26962', 'a29449', 'a29733', 'a30145', 'a00134', 'a02812', 'a03576', 'a07398', 'a08841', 'a08848', 'a09043', 'a13194', 'a15342', 'a19915', 'a23818', 'a26667', 'a27486', 'a30405', 'a30446', 'a07288', 'a07376', 'a07916', 'a12573', 'a16615', 'a19073', 'a20137', 'a27396', 'a27761', 'a27899', 'a00094', 'a02859', 'a06422', 'a06709', 'a07875', 'a08939', 'a09548', 'a13378', 'a15164', 'a15180', 'a15983', 'a19080', 'a20181', 'a23199', 'a26863', 'a27611', 'a28256', 'a29515', 'a00095', 'a00555', 'a01991', 'a02171', 'a02715', 'a03283', 'a03296', 'a03375', 'a03601', 'a03864', 'a03982', 'a04066', 'a04246', 'a04609', 'a04694', 'a05001', 'a05067', 'a05218', 'a05852', 'a06321', 'a06452', 'a06564', 'a06604', 'a06657', 'a06931', 'a07089', 'a08090', 'a08202', 'a08284', 'a08411', 'a08578', 'a08771', 'a09398', 'a09637', 'a10422', 'a10585', 'a10954', 'a11877', 'a12557', 'a12576', 'a12769', 'a13137', 'a13565', 'a14469', 'a15052', 'a15211', 'a15476', 'a15921', 'a15994', 'a16523', 'a16901', 'a17328', 'a17369', 'a17435', 'a17848', 'a18071', 'a18078', 'a19195', 'a19488', 'a19849', 'a19877', 'a20484', 'a21030', 'a21094', 'a21244', 'a21358', 'a21765', 'a22024', 'a22147', 'a22162', 'a22345', 'a22441', 'a22570', 'a22613', 'a22854', 'a23815', 'a23921', 'a23935', 'a23947', 'a23965', 'a24987', 'a25122', 'a25204', 'a25640', 'a25652', 'a25879', 'a25883', 'a26325', 'a26720', 'a26791', 'a27308', 'a27411', 'a27430', 'a27637', 'a28121', 'a28273', 'a28610', 'a28800', 'a29719', 'a30287', 'a30290', 'a30882', 'a31035', 'a31446', 'a00518', 'a03343', 'a03441', 'a03824', 'a04603', 'a04881', 'a06702', 'a07933', 'a09301', 'a10346', 'a11118', 'a13084', 'a13414', 'a14489', 'a14650', 'a14903', 'a14921', 'a14942', 'a15528', 'a15811', 'a16058', 'a17772', 'a19717', 'a19781', 'a20083', 'a20101', 'a23164', 'a23404', 'a24897', 'a25051', 'a25242', 'a26135', 'a26308', 'a26336', 'a27260', 'a27384', 'a28488', 'a29218', 'a29857', 'a00165', 'a01232', 'a02921', 'a03025', 'a03348', 'a03863', 'a04155', 'a05141', 'a08565', 'a08675', 'a09084', 'a11706', 'a11766', 'a12594', 'a12937', 'a15805', 'a15885', 'a17870', 'a18188', 'a19414', 'a20069', 'a20255', 'a22130', 'a22997', 'a23541', 'a23917', 'a25852', 'a25980', 'a26262', 'a29238', 'a30741', 'a31294', 'a31424', 'a31438', 'a00175', 'a00264', 'a02990', 'a02997', 'a03329', 'a05617', 'a09388', 'a11437', 'a14222', 'a16180', 'a16948', 'a17692', 'a18456', 'a22839', 'a25104', 'a26718', 'a27435', 'a28237', 'a29832', 'a30155', 'a30558', 'a01043', 'a01672', 'a01894', 'a02088', 'a02526', 'a03896', 'a04800', 'a06169', 'a06569', 'a07861', 'a10105', 'a11154', 'a12107', 'a12778', 'a13832', 'a14657', 'a14879', 'a14973', 'a15893', 'a16177', 'a17995', 'a18390', 'a18920', 'a19462', 'a19494', 'a19801', 'a21659', 'a22273', 'a22522', 'a23827', 'a24246', 'a25181', 'a26934', 'a27618', 'a28036', 'a28112', 'a28863', 'a02617', 'a04005', 'a04511', 'a06010', 'a08346', 'a10615', 'a10803', 'a11502', 'a13173', 'a14926', 'a16105', 'a16723', 'a16728', 'a17074', 'a18054', 'a20284', 'a22259', 'a22281', 'a22538', 'a22608', 'a24244', 'a25295', 'a25489', 'a26752', 'a27421', 'a28691', 'a29304', 'a30562', 'a31322', 'a00009', 'a01323', 'a03293', 'a03330', 'a04301', 'a05703', 'a06330', 'a08072', 'a09675', 'a10163', 'a10677', 'a12883', 'a13572', 'a15150', 'a16281', 'a16792', 'a17664', 'a19066', 'a20768', 'a22878', 'a24726', 'a26737', 'a27031', 'a27557', 'a31214', 'a02798', 'a05019', 'a05309', 'a07062', 'a11935', 'a12108', 'a15412', 'a16521', 'a19219', 'a20449', 'a23241', 'a23356', 'a25500', 'a26671', 'a27095', 'a28650', 'a29584', 'a29715', 'a30486', 'a00819', 'a01459', 'a04284', 'a04430', 'a04618', 'a05044', 'a06177', 'a07138', 'a07176', 'a07305', 'a07480', 'a07550', 'a08133', 'a09097', 'a09135', 'a10366', 'a10969', 'a14206', 'a15223', 'a16134', 'a17923', 'a21246', 'a21264', 'a21340', 'a22244', 'a22547', 'a24062', 'a26124', 'a26935', 'a27906', 'a00297', 'a01286', 'a01563', 'a01787', 'a02404', 'a04803', 'a04966', 'a06712', 'a07161', 'a07385', 'a08325', 'a08737', 'a10753', 'a11587', 'a13385', 'a15938', 'a16187', 'a17265', 'a17385', 'a17619', 'a18492', 'a18724', 'a22051', 'a22120', 'a22173', 'a23744', 'a25711', 'a26361', 'a26796', 'a27263', 'a29084', 'a29347', 'a30098', 'a30361', 'a00385', 'a01255', 'a03100', 'a06775', 'a07443', 'a08011', 'a08188', 'a11423', 'a13450', 'a13750', 'a15031', 'a15271', 'a16334', 'a16796', 'a19222', 'a19464', 'a20698', 'a22939', 'a23470', 'a23899', 'a26371', 'a26710', 'a29133', 'a29215', 'a30102', 'a30711', 'a30714', 'a01941', 'a02339', 'a02393', 'a02761', 'a02912', 'a03244', 'a03646', 'a04759', 'a04888', 'a05342', 'a05513', 'a07302', 'a07414', 'a07697', 'a10306', 'a10983', 'a11441', 'a12121', 'a14259', 'a14346', 'a15858', 'a16219', 'a16495', 'a16607', 'a16804', 'a17379', 'a17718', 'a17832', 'a17858', 'a19970', 'a20301', 'a20865', 'a20874', 'a24427', 'a25098', 'a25135', 'a25908', 'a26730', 'a27244', 'a28883', 'a28885', 'a29102', 'a30496', 'a30564', 'a31118', 'a01217', 'a01747', 'a03056', 'a05031', 'a05115', 'a05652', 'a06261', 'a06591', 'a06599', 'a06910', 'a07105', 'a08920', 'a08972', 'a09058', 'a09477', 'a12877', 'a13330', 'a13663', 'a14036', 'a14076', 'a14135', 'a14641', 'a14791', 'a14891', 'a15252', 'a15478', 'a16120', 'a17332', 'a17478', 'a17972', 'a19137', 'a19857', 'a19927', 'a21701', 'a22446', 'a22777', 'a23224', 'a25200', 'a25779', 'a26638', 'a26666', 'a26867', 'a26878', 'a27717', 'a28221', 'a28430', 'a29297', 'a29464', 'a31295', 'a01148', 'a01265', 'a01977', 'a02455', 'a03618', 'a03821', 'a05842', 'a07071', 'a07509', 'a08853', 'a09187', 'a09877', 'a09901', 'a09955', 'a10746', 'a11038', 'a11634', 'a11695', 'a11719', 'a12293', 'a12992', 'a13170', 'a13402', 'a15248', 'a15485', 'a15761', 'a16764', 'a17345', 'a17636', 'a17738', 'a18209', 'a18280', 'a19705', 'a21538', 'a21875', 'a21944', 'a23213', 'a23413', 'a24491', 'a25049', 'a26201', 'a26314', 'a26806', 'a27088', 'a27205', 'a27216', 'a27548', 'a27914', 'a28040', 'a28296', 'a28527', 'a28660', 'a29307', 'a30632', 'a30872', 'a30873', 'a31184', 'a00027', 'a00816', 'a01040', 'a01701', 'a01908', 'a02395', 'a02657', 'a02698', 'a03674', 'a03685', 'a03872', 'a04305', 'a04533', 'a04621', 'a04655', 'a05653', 'a05688', 'a05898', 'a05939', 'a06307', 'a07195', 'a07746', 'a07768', 'a08225', 'a08335', 'a08824', 'a09141', 'a09685', 'a09690', 'a10373', 'a10477', 'a10966', 'a11521', 'a11526', 'a11676', 'a11866', 'a13077', 'a13513', 'a14794', 'a16007', 'a16403', 'a16644', 'a17072', 'a17079', 'a17275', 'a17497', 'a17504', 'a17728', 'a18348', 'a18594', 'a18819', 'a18991', 'a19276', 'a20051', 'a20739', 'a20829', 'a22414', 'a22573', 'a23250', 'a23761', 'a24566', 'a24719', 'a25171', 'a25178', 'a25732', 'a26356', 'a27089', 'a27233', 'a27713', 'a28117', 'a28417', 'a28560', 'a28900', 'a29706', 'a30754', 'a31369', 'a00050', 'a00416', 'a00723', 'a01253', 'a01287', 'a01354', 'a01480', 'a01768', 'a01992', 'a02484', 'a02899', 'a03001', 'a04055', 'a04485', 'a04550', 'a05654', 'a06078', 'a06117', 'a07080', 'a07108', 'a07206', 'a07248', 'a07481', 'a07482', 'a08414', 'a09024', 'a09185', 'a09722', 'a10025', 'a10685', 'a11202', 'a11232', 'a11272', 'a11447', 'a11582', 'a11790', 'a12915', 'a13544', 'a13635', 'a13692', 'a13707', 'a13885', 'a14497', 'a15049', 